"Time (CET/CEST)","Situation - SCA|NL","Open loop control area error [MW] - SCA|NL"
"01.04.2021 01:30 - 01.04.2021 01:31","Deficit","13.36"
"01.04.2021 01:31 - 01.04.2021 01:32","Deficit","62.05"
"01.04.2021 01:32 - 01.04.2021 01:33","Deficit","79.46"
"01.04.2021 01:33 - 01.04.2021 01:34","Deficit","45.92"
"01.04.2021 01:34 - 01.04.2021 01:35","Deficit","68.80"
"01.04.2021 01:35 - 01.04.2021 01:36","Deficit","57.50"
"01.04.2021 01:36 - 01.04.2021 01:37","Deficit","5.01"
"01.04.2021 01:37 - 01.04.2021 01:38","Surplus","34.38"
"01.04.2021 01:38 - 01.04.2021 01:39","Surplus","23.65"
"01.04.2021 01:39 - 01.04.2021 01:40","Surplus","23.63"
"01.04.2021 01:40 - 01.04.2021 01:41","Surplus","23.27"
"01.04.2021 01:41 - 01.04.2021 01:42","Deficit","3.35"
"01.04.2021 01:42 - 01.04.2021 01:43","Surplus","16.79"
"01.04.2021 01:43 - 01.04.2021 01:44","Surplus","0.57"
"01.04.2021 01:44 - 01.04.2021 01:45","Deficit","0.08"
"01.04.2021 01:45 - 01.04.2021 01:46","Deficit","25.44"
"01.04.2021 01:46 - 01.04.2021 01:47","Deficit","42.35"
"01.04.2021 01:47 - 01.04.2021 01:48","Deficit","37.67"
"01.04.2021 01:48 - 01.04.2021 01:49","Deficit","6.27"
"01.04.2021 01:49 - 01.04.2021 01:50","Surplus","0.52"
"01.04.2021 01:50 - 01.04.2021 01:51","Deficit","12.16"
"01.04.2021 01:51 - 01.04.2021 01:52","Deficit","19.89"
"01.04.2021 01:52 - 01.04.2021 01:53","Surplus","8.10"
"01.04.2021 01:53 - 01.04.2021 01:54","Surplus","0.04"
"01.04.2021 01:54 - 01.04.2021 01:55","Surplus","10.56"
"01.04.2021 01:55 - 01.04.2021 01:56","Surplus","5.84"
"01.04.2021 01:56 - 01.04.2021 01:57","Surplus","8.00"
"01.04.2021 01:57 - 01.04.2021 01:58","Surplus","11.20"
"01.04.2021 01:58 - 01.04.2021 01:59","Surplus","13.30"
"01.04.2021 01:59 - 01.04.2021 02:00","Surplus","11.56"
"01.04.2021 02:00 - 01.04.2021 02:01","Surplus","11.05"
"01.04.2021 02:01 - 01.04.2021 02:02","Deficit","12.08"
"01.04.2021 02:02 - 01.04.2021 02:03","Deficit","67.67"
"01.04.2021 02:03 - 01.04.2021 02:04","Deficit","104.13"
"01.04.2021 02:04 - 01.04.2021 02:05","Deficit","124.19"
"01.04.2021 02:05 - 01.04.2021 02:06","Deficit","98.54"
"01.04.2021 02:06 - 01.04.2021 02:07","Deficit","98.19"
"01.04.2021 02:07 - 01.04.2021 02:08","Deficit","104.31"
"01.04.2021 02:08 - 01.04.2021 02:09","Deficit","53.43"
"01.04.2021 02:09 - 01.04.2021 02:10","Deficit","5.70"
"01.04.2021 02:10 - 01.04.2021 02:11","Surplus","24.89"
"01.04.2021 02:11 - 01.04.2021 02:12","Surplus","25.08"
"01.04.2021 02:12 - 01.04.2021 02:13","Surplus","31.69"
"01.04.2021 02:13 - 01.04.2021 02:14","Surplus","55.36"
"01.04.2021 02:14 - 01.04.2021 02:15","Surplus","42.44"
"01.04.2021 02:15 - 01.04.2021 02:16","Surplus","6.39"
"01.04.2021 02:16 - 01.04.2021 02:17","Deficit","47.60"
"01.04.2021 02:17 - 01.04.2021 02:18","Deficit","28.52"
"01.04.2021 02:18 - 01.04.2021 02:19","Deficit","6.72"
"01.04.2021 02:19 - 01.04.2021 02:20","Surplus","7.27"
"01.04.2021 02:20 - 01.04.2021 02:21","Surplus","9.56"
"01.04.2021 02:21 - 01.04.2021 02:22","Surplus","16.79"
"01.04.2021 02:22 - 01.04.2021 02:23","Surplus","22.29"
"01.04.2021 02:23 - 01.04.2021 02:24","Surplus","17.48"
"01.04.2021 02:24 - 01.04.2021 02:25","Deficit","3.13"
"01.04.2021 02:25 - 01.04.2021 02:26","Surplus","15.06"
"01.04.2021 02:26 - 01.04.2021 02:27","Surplus","14.75"
"01.04.2021 02:27 - 01.04.2021 02:28","Deficit","2.48"
"01.04.2021 02:28 - 01.04.2021 02:29","Surplus","0.01"
"01.04.2021 02:29 - 01.04.2021 02:30","Surplus","12.26"
"01.04.2021 02:30 - 01.04.2021 02:31","Deficit","10.43"
"01.04.2021 02:31 - 01.04.2021 02:32","Surplus","2.32"
"01.04.2021 02:32 - 01.04.2021 02:33","Deficit","2.45"
"01.04.2021 02:33 - 01.04.2021 02:34","Deficit","2.99"
"01.04.2021 02:34 - 01.04.2021 02:35","Surplus","5.11"
"01.04.2021 02:35 - 01.04.2021 02:36","Surplus","4.40"
"01.04.2021 02:36 - 01.04.2021 02:37","Deficit","10.78"
"01.04.2021 02:37 - 01.04.2021 02:38","Surplus","1.63"
"01.04.2021 02:38 - 01.04.2021 02:39","Surplus","2.50"
"01.04.2021 02:39 - 01.04.2021 02:40","Deficit","1.66"
"01.04.2021 02:40 - 01.04.2021 02:41","Surplus","2.36"
"01.04.2021 02:41 - 01.04.2021 02:42","Surplus","4.20"
"01.04.2021 02:42 - 01.04.2021 02:43","Deficit","8.20"
"01.04.2021 02:43 - 01.04.2021 02:44","Surplus","20.83"
"01.04.2021 02:44 - 01.04.2021 02:45","Surplus","14.89"
"01.04.2021 02:45 - 01.04.2021 02:46","Surplus","6.32"
"01.04.2021 02:46 - 01.04.2021 02:47","Surplus","4.44"
"01.04.2021 02:47 - 01.04.2021 02:48","Surplus","8.43"
"01.04.2021 02:48 - 01.04.2021 02:49","Deficit","9.60"
"01.04.2021 02:49 - 01.04.2021 02:50","Surplus","3.86"
"01.04.2021 02:50 - 01.04.2021 02:51","Surplus","12.67"
"01.04.2021 02:51 - 01.04.2021 02:52","Surplus","20.52"
"01.04.2021 02:52 - 01.04.2021 02:53","Surplus","42.29"
"01.04.2021 02:53 - 01.04.2021 02:54","Surplus","52.39"
"01.04.2021 02:54 - 01.04.2021 02:55","Surplus","30.13"
"01.04.2021 02:55 - 01.04.2021 02:56","Surplus","8.13"
"01.04.2021 02:56 - 01.04.2021 02:57","Surplus","29.38"
"01.04.2021 02:57 - 01.04.2021 02:58","Surplus","9.83"
"01.04.2021 02:58 - 01.04.2021 02:59","Deficit","7.52"
"01.04.2021 02:59 - 01.04.2021 03:00","Deficit","24.56"
"01.04.2021 03:00 - 01.04.2021 03:01","Deficit","66.77"
"01.04.2021 03:01 - 01.04.2021 03:02","Deficit","131.97"
"01.04.2021 03:02 - 01.04.2021 03:03","Deficit","198.33"
"01.04.2021 03:03 - 01.04.2021 03:04","Deficit","189.35"
"01.04.2021 03:04 - 01.04.2021 03:05","Deficit","171.31"
"01.04.2021 03:05 - 01.04.2021 03:06","Deficit","139.39"
"01.04.2021 03:06 - 01.04.2021 03:07","Deficit","116.08"
"01.04.2021 03:07 - 01.04.2021 03:08","Deficit","49.66"
"01.04.2021 03:08 - 01.04.2021 03:09","Deficit","28.44"
"01.04.2021 03:09 - 01.04.2021 03:10","Deficit","11.66"
"01.04.2021 03:10 - 01.04.2021 03:11","Surplus","5.05"
"01.04.2021 03:11 - 01.04.2021 03:12","Surplus","36.69"
"01.04.2021 03:12 - 01.04.2021 03:13","Surplus","66.53"
"01.04.2021 03:13 - 01.04.2021 03:14","Surplus","63.14"
"01.04.2021 03:14 - 01.04.2021 03:15","Surplus","103.77"
"01.04.2021 03:15 - 01.04.2021 03:16","Surplus","110.96"
"01.04.2021 03:16 - 01.04.2021 03:17","Surplus","140.66"
"01.04.2021 03:17 - 01.04.2021 03:18","Surplus","99.67"
"01.04.2021 03:18 - 01.04.2021 03:19","Surplus","133.23"
"01.04.2021 03:19 - 01.04.2021 03:20","Surplus","108.41"
"01.04.2021 03:20 - 01.04.2021 03:21","Surplus","103.60"
"01.04.2021 03:21 - 01.04.2021 03:22","Surplus","83.34"
"01.04.2021 03:22 - 01.04.2021 03:23","Surplus","67.98"
"01.04.2021 03:23 - 01.04.2021 03:24","Surplus","78.51"
"01.04.2021 03:24 - 01.04.2021 03:25","Surplus","41.12"
"01.04.2021 03:25 - 01.04.2021 03:26","Surplus","14.36"
"01.04.2021 03:26 - 01.04.2021 03:27","Surplus","18.43"
"01.04.2021 03:27 - 01.04.2021 03:28","Surplus","14.13"
"01.04.2021 03:28 - 01.04.2021 03:29","Surplus","10.73"
"01.04.2021 03:29 - 01.04.2021 03:30","Surplus","34.48"
"01.04.2021 03:30 - 01.04.2021 03:31","Surplus","62.61"
"01.04.2021 03:31 - 01.04.2021 03:32","Surplus","96.27"
"01.04.2021 03:32 - 01.04.2021 03:33","Surplus","111.78"
"01.04.2021 03:33 - 01.04.2021 03:34","Surplus","72.82"
"01.04.2021 03:34 - 01.04.2021 03:35","Surplus","88.49"
"01.04.2021 03:35 - 01.04.2021 03:36","Surplus","131.07"
"01.04.2021 03:36 - 01.04.2021 03:37","Surplus","137.79"
"01.04.2021 03:37 - 01.04.2021 03:38","Surplus","127.46"
"01.04.2021 03:38 - 01.04.2021 03:39","Surplus","105.06"
"01.04.2021 03:39 - 01.04.2021 03:40","Surplus","100.31"
"01.04.2021 03:40 - 01.04.2021 03:41","Surplus","109.30"
"01.04.2021 03:41 - 01.04.2021 03:42","Surplus","58.08"
"01.04.2021 03:42 - 01.04.2021 03:43","Surplus","36.88"
"01.04.2021 03:43 - 01.04.2021 03:44","Surplus","10.23"
"01.04.2021 03:44 - 01.04.2021 03:45","Surplus","2.52"
"01.04.2021 03:45 - 01.04.2021 03:46","Deficit","10.26"
"01.04.2021 03:46 - 01.04.2021 03:47","Deficit","12.50"
"01.04.2021 03:47 - 01.04.2021 03:48","Surplus","5.22"
"01.04.2021 03:48 - 01.04.2021 03:49","Surplus","1.60"
"01.04.2021 03:49 - 01.04.2021 03:50","Deficit","5.92"
"01.04.2021 03:50 - 01.04.2021 03:51","Deficit","27.94"
