"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Generation / - Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Price for consumption [Currency/MWh] - SCA|DE(TenneT GER)","Currency","Status","Total Imbalance [MWh] - SCA|DE(TenneT GER)","Difference","Situation","Status"
"01.01.2021 13:00 - 01.01.2021 13:15","n/e","n/e","n/e","n/e","n/e","39","-1","Surplus","Final"
"01.01.2021 13:15 - 01.01.2021 13:30","n/e","n/e","n/e","n/e","n/e","64","2","Surplus","Final"
"01.01.2021 13:30 - 01.01.2021 13:45","n/e","n/e","n/e","n/e","n/e","69","2","Surplus","Final"
"01.01.2021 13:45 - 01.01.2021 14:00","n/e","n/e","n/e","n/e","n/e","49","2","Surplus","Final"
"01.01.2021 14:00 - 01.01.2021 14:15","n/e","n/e","n/e","n/e","n/e","36","0","Surplus","Final"
"01.01.2021 14:15 - 01.01.2021 14:30","n/e","n/e","n/e","n/e","n/e","59","3","Surplus","Final"
"01.01.2021 14:30 - 01.01.2021 14:45","n/e","n/e","n/e","n/e","n/e","12","4","Deficit","Final"
"01.01.2021 14:45 - 01.01.2021 15:00","n/e","n/e","n/e","n/e","n/e","31","7","Deficit","Final"
"01.01.2021 15:00 - 01.01.2021 15:15","n/e","n/e","n/e","n/e","n/e","99","1","Deficit","Final"
"01.01.2021 15:15 - 01.01.2021 15:30","n/e","n/e","n/e","n/e","n/e","98","-1","Deficit","Final"
"01.01.2021 15:30 - 01.01.2021 15:45","n/e","n/e","n/e","n/e","n/e","70","2","Deficit","Final"
"01.01.2021 15:45 - 01.01.2021 16:00","n/e","n/e","n/e","n/e","n/e","37","1","Deficit","Final"
"01.01.2021 16:00 - 01.01.2021 16:15","n/e","n/e","n/e","n/e","n/e","20","7","Surplus","Final"
"01.01.2021 16:15 - 01.01.2021 16:30","n/e","n/e","n/e","n/e","n/e","39","0","Surplus","Final"
"01.01.2021 16:30 - 01.01.2021 16:45","n/e","n/e","n/e","n/e","n/e","25","-5","Surplus","Final"
"01.01.2021 16:45 - 01.01.2021 17:00","n/e","n/e","n/e","n/e","n/e","70","-12","Surplus","Final"
"01.01.2021 17:00 - 01.01.2021 17:15","n/e","n/e","n/e","n/e","n/e","91","7","Surplus","Final"
"01.01.2021 17:15 - 01.01.2021 17:30","n/e","n/e","n/e","n/e","n/e","67","-1","Surplus","Final"
