"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Generation / - Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Price for consumption [Currency/MWh] - SCA|DE(TenneT GER)","Currency","Status","Total Imbalance [MWh] - SCA|DE(TenneT GER)","Difference","Situation","Status"
"01.01.2020 09:45 - 01.01.2020 10:00","n/e","n/e","n/e","n/e","n/e","18","5","Surplus","Final"
"01.01.2020 10:00 - 01.01.2020 10:15","n/e","n/e","n/e","n/e","n/e","1","4","Deficit","Final"
"01.01.2020 10:15 - 01.01.2020 10:30","n/e","n/e","n/e","n/e","n/e","25","-2","Surplus","Final"
"01.01.2020 10:30 - 01.01.2020 10:45","n/e","n/e","n/e","n/e","n/e","39","2","Surplus","Final"
"01.01.2020 10:45 - 01.01.2020 11:00","n/e","n/e","n/e","n/e","n/e","11","3","Surplus","Final"
"01.01.2020 11:00 - 01.01.2020 11:15","n/e","n/e","n/e","n/e","n/e","74","-2","Deficit","Final"
"01.01.2020 11:15 - 01.01.2020 11:30","n/e","n/e","n/e","n/e","n/e","97","1","Deficit","Final"
"01.01.2020 11:30 - 01.01.2020 11:45","n/e","n/e","n/e","n/e","n/e","133","1","Deficit","Final"
"01.01.2020 11:45 - 01.01.2020 12:00","n/e","n/e","n/e","n/e","n/e","112","1","Deficit","Final"
"01.01.2020 12:00 - 01.01.2020 12:15","n/e","n/e","n/e","n/e","n/e","188","-3","Deficit","Final"
"01.01.2020 12:15 - 01.01.2020 12:30","n/e","n/e","n/e","n/e","n/e","142","-5","Deficit","Final"
"01.01.2020 12:30 - 01.01.2020 12:45","n/e","n/e","n/e","n/e","n/e","140","-8","Deficit","Final"
"01.01.2020 12:45 - 01.01.2020 13:00","n/e","n/e","n/e","n/e","n/e","147","-1","Deficit","Final"
"01.01.2020 13:00 - 01.01.2020 13:15","n/e","n/e","n/e","n/e","n/e","181","-5","Deficit","Final"
"01.01.2020 13:15 - 01.01.2020 13:30","n/e","n/e","n/e","n/e","n/e","106","3","Deficit","Final"
"01.01.2020 13:30 - 01.01.2020 13:45","n/e","n/e","n/e","n/e","n/e","100","-1","Deficit","Final"
"01.01.2020 13:45 - 01.01.2020 14:00","n/e","n/e","n/e","n/e","n/e","132","2","Deficit","Final"
"01.01.2020 14:00 - 01.01.2020 14:15","n/e","n/e","n/e","n/e","n/e","159","1","Deficit","Final"
"01.01.2020 14:15 - 01.01.2020 14:30","n/e","n/e","n/e","n/e","n/e","185","2","Deficit","Final"
"01.01.2020 14:30 - 01.01.2020 14:45","n/e","n/e","n/e","n/e","n/e","164","-1","Deficit","Final"
"01.01.2020 14:45 - 01.01.2020 15:00","n/e","n/e","n/e","n/e","n/e","165","1","Deficit","Final"
"01.01.2020 15:00 - 01.01.2020 15:15","n/e","n/e","n/e","n/e","n/e","128","9","Deficit","Final"
"01.01.2020 15:15 - 01.01.2020 15:30","n/e","n/e","n/e","n/e","n/e","180","-2","Deficit","Final"
"01.01.2020 15:30 - 01.01.2020 15:45","n/e","n/e","n/e","n/e","n/e","171","-6","Deficit","Final"
"01.01.2020 15:45 - 01.01.2020 16:00","n/e","n/e","n/e","n/e","n/e","197","-2","Deficit","Final"
"01.01.2020 16:00 - 01.01.2020 16:15","n/e","n/e","n/e","n/e","n/e","184","2","Deficit","Final"
"01.01.2020 16:15 - 01.01.2020 16:30","n/e","n/e","n/e","n/e","n/e","173","-1","Deficit","Final"
"01.01.2020 16:30 - 01.01.2020 16:45","n/e","n/e","n/e","n/e","n/e","200","-5","Deficit","Final"
"01.01.2020 16:45 - 01.01.2020 17:00","n/e","n/e","n/e","n/e","n/e","178","2","Deficit","Final"
"01.01.2020 17:00 - 01.01.2020 17:15","n/e","n/e","n/e","n/e","n/e","165","13","Deficit","Final"
"01.01.2020 17:15 - 01.01.2020 17:30","n/e","n/e","n/e","n/e","n/e","164","-1","Deficit","Final"
"01.01.2020 17:30 - 01.01.2020 17:45","n/e","n/e","n/e","n/e","n/e","140","-1","Deficit","Final"
"01.01.2020 17:45 - 01.01.2020 18:00","n/e","n/e","n/e","n/e","n/e","104","-4","Deficit","Final"
"01.01.2020 18:00 - 01.01.2020 18:15","n/e","n/e","n/e","n/e","n/e","70","11","Deficit","Final"
"01.01.2020 18:15 - 01.01.2020 18:30","n/e","n/e","n/e","n/e","n/e","38","-1","Deficit","Final"
"01.01.2020 18:30 - 01.01.2020 18:45","n/e","n/e","n/e","n/e","n/e","10","2","Surplus","Final"
"01.01.2020 18:45 - 01.01.2020 19:00","n/e","n/e","n/e","n/e","n/e","26","-4","Surplus","Final"
"01.01.2020 19:00 - 01.01.2020 19:15","n/e","n/e","n/e","n/e","n/e","35","0","Surplus","Final"
"01.01.2020 19:15 - 01.01.2020 19:30","n/e","n/e","n/e","n/e","n/e","16","0","Surplus","Final"
"01.01.2020 19:30 - 01.01.2020 19:45","n/e","n/e","n/e","n/e","n/e","62","3","Surplus","Final"
"01.01.2020 19:45 - 01.01.2020 20:00","n/e","n/e","n/e","n/e","n/e","19","4","Surplus","Final"
"01.01.2020 20:00 - 01.01.2020 20:15","n/e","n/e","n/e","n/e","n/e","56","5","Deficit","Final"
"01.01.2020 20:15 - 01.01.2020 20:30","n/e","n/e","n/e","n/e","n/e","104","6","Deficit","Final"
"01.01.2020 20:30 - 01.01.2020 20:45","n/e","n/e","n/e","n/e","n/e","93","0","Deficit","Final"
"01.01.2020 20:45 - 01.01.2020 21:00","n/e","n/e","n/e","n/e","n/e","162","1","Deficit","Final"
"01.01.2020 21:00 - 01.01.2020 21:15","n/e","n/e","n/e","n/e","n/e","220","-3","Deficit","Final"
"01.01.2020 21:15 - 01.01.2020 21:30","n/e","n/e","n/e","n/e","n/e","174","7","Deficit","Final"
"01.01.2020 21:30 - 01.01.2020 21:45","n/e","n/e","n/e","n/e","n/e","146","4","Deficit","Final"
"01.01.2020 21:45 - 01.01.2020 22:00","n/e","n/e","n/e","n/e","n/e","102","6","Deficit","Final"
"01.01.2020 22:00 - 01.01.2020 22:15","n/e","n/e","n/e","n/e","n/e","180","-1","Deficit","Final"
"01.01.2020 22:15 - 01.01.2020 22:30","n/e","n/e","n/e","n/e","n/e","229","7","Deficit","Final"
"01.01.2020 22:30 - 01.01.2020 22:45","n/e","n/e","n/e","n/e","n/e","234","7","Deficit","Final"
"01.01.2020 22:45 - 01.01.2020 23:00","n/e","n/e","n/e","n/e","n/e","212","5","Deficit","Final"
"01.01.2020 23:00 - 01.01.2020 23:15","n/e","n/e","n/e","n/e","n/e","288","-3","Deficit","Final"
"01.01.2020 23:15 - 01.01.2020 23:30","n/e","n/e","n/e","n/e","n/e","285","5","Deficit","Final"
"01.01.2020 23:30 - 01.01.2020 23:45","n/e","n/e","n/e","n/e","n/e","254","8","Deficit","Final"
"01.01.2020 23:45 - 02.01.2020 00:00","n/e","n/e","n/e","n/e","n/e","239","16","Deficit","Final"
"02.01.2020 00:00 - 02.01.2020 00:15","n/e","n/e","n/e","n/e","n/e","225","-2","Deficit","Final"
"02.01.2020 00:15 - 02.01.2020 00:30","n/e","n/e","n/e","n/e","n/e","196","7","Deficit","Final"
"02.01.2020 00:30 - 02.01.2020 00:45","n/e","n/e","n/e","n/e","n/e","250","11","Deficit","Final"
"02.01.2020 00:45 - 02.01.2020 01:00","n/e","n/e","n/e","n/e","n/e","295","11","Deficit","Final"
"02.01.2020 01:00 - 02.01.2020 01:15","n/e","n/e","n/e","n/e","n/e","257","0","Deficit","Final"
"02.01.2020 01:15 - 02.01.2020 01:30","n/e","n/e","n/e","n/e","n/e","256","4","Deficit","Final"
"02.01.2020 01:30 - 02.01.2020 01:45","n/e","n/e","n/e","n/e","n/e","200","6","Deficit","Final"
"02.01.2020 01:45 - 02.01.2020 02:00","n/e","n/e","n/e","n/e","n/e","153","7","Deficit","Final"
"02.01.2020 02:00 - 02.01.2020 02:15","n/e","n/e","n/e","n/e","n/e","87","-2","Deficit","Final"
"02.01.2020 02:15 - 02.01.2020 02:30","n/e","n/e","n/e","n/e","n/e","49","3","Deficit","Final"
"02.01.2020 02:30 - 02.01.2020 02:45","n/e","n/e","n/e","n/e","n/e","30","5","Deficit","Final"
"02.01.2020 02:45 - 02.01.2020 03:00","n/e","n/e","n/e","n/e","n/e","32","8","Deficit","Final"
"02.01.2020 03:00 - 02.01.2020 03:15","n/e","n/e","n/e","n/e","n/e","16","1","Deficit","Final"
"02.01.2020 03:15 - 02.01.2020 03:30","n/e","n/e","n/e","n/e","n/e","32","3","Deficit","Final"
"02.01.2020 03:30 - 02.01.2020 03:45","n/e","n/e","n/e","n/e","n/e","43","5","Deficit","Final"
"02.01.2020 03:45 - 02.01.2020 04:00","n/e","n/e","n/e","n/e","n/e","23","3","Deficit","Final"
"02.01.2020 04:00 - 02.01.2020 04:15","n/e","n/e","n/e","n/e","n/e","51","6","Deficit","Final"
"02.01.2020 04:15 - 02.01.2020 04:30","n/e","n/e","n/e","n/e","n/e","51","2","Deficit","Final"
"02.01.2020 04:30 - 02.01.2020 04:45","n/e","n/e","n/e","n/e","n/e","7","4","Surplus","Final"
"02.01.2020 04:45 - 02.01.2020 05:00","n/e","n/e","n/e","n/e","n/e","3","4","Surplus","Final"
"02.01.2020 05:00 - 02.01.2020 05:15","n/e","n/e","n/e","n/e","n/e","17","7","Deficit","Final"
"02.01.2020 05:15 - 02.01.2020 05:30","n/e","n/e","n/e","n/e","n/e","34","-2","Deficit","Final"
"02.01.2020 05:30 - 02.01.2020 05:45","n/e","n/e","n/e","n/e","n/e","72","-1","Deficit","Final"
"02.01.2020 05:45 - 02.01.2020 06:00","n/e","n/e","n/e","n/e","n/e","7","1","Deficit","Final"
"02.01.2020 06:00 - 02.01.2020 06:15","n/e","n/e","n/e","n/e","n/e","46","-1","Surplus","Final"
"02.01.2020 06:15 - 02.01.2020 06:30","n/e","n/e","n/e","n/e","n/e","54","-3","Surplus","Final"
"02.01.2020 06:30 - 02.01.2020 06:45","n/e","n/e","n/e","n/e","n/e","61","-5","Surplus","Final"
"02.01.2020 06:45 - 02.01.2020 07:00","n/e","n/e","n/e","n/e","n/e","32","0","Surplus","Final"
"02.01.2020 07:00 - 02.01.2020 07:15","n/e","n/e","n/e","n/e","n/e","71","15","Deficit","Final"
"02.01.2020 07:15 - 02.01.2020 07:30","n/e","n/e","n/e","n/e","n/e","156","-1","Deficit","Final"
"02.01.2020 07:30 - 02.01.2020 07:45","n/e","n/e","n/e","n/e","n/e","135","-5","Deficit","Final"
"02.01.2020 07:45 - 02.01.2020 08:00","n/e","n/e","n/e","n/e","n/e","80","-1","Deficit","Final"
"02.01.2020 08:00 - 02.01.2020 08:15","n/e","n/e","n/e","n/e","n/e","187","6","Deficit","Final"
"02.01.2020 08:15 - 02.01.2020 08:30","n/e","n/e","n/e","n/e","n/e","196","-2","Deficit","Final"
"02.01.2020 08:30 - 02.01.2020 08:45","n/e","n/e","n/e","n/e","n/e","151","-2","Deficit","Final"
"02.01.2020 08:45 - 02.01.2020 09:00","n/e","n/e","n/e","n/e","n/e","106","1","Deficit","Final"
"02.01.2020 09:00 - 02.01.2020 09:15","n/e","n/e","n/e","n/e","n/e","55","4","Deficit","Final"
"02.01.2020 09:15 - 02.01.2020 09:30","n/e","n/e","n/e","n/e","n/e","1","3","Deficit","Final"
"02.01.2020 09:30 - 02.01.2020 09:45","n/e","n/e","n/e","n/e","n/e","22","1","Deficit","Final"
"02.01.2020 09:45 - 02.01.2020 10:00","n/e","n/e","n/e","n/e","n/e","108","2","Deficit","Final"
"02.01.2020 10:00 - 02.01.2020 10:15","n/e","n/e","n/e","n/e","n/e","72","1","Deficit","Final"
"02.01.2020 10:15 - 02.01.2020 10:30","n/e","n/e","n/e","n/e","n/e","16","3","Deficit","Final"
"02.01.2020 10:30 - 02.01.2020 10:45","n/e","n/e","n/e","n/e","n/e","45","2","Deficit","Final"
"02.01.2020 10:45 - 02.01.2020 11:00","n/e","n/e","n/e","n/e","n/e","44","7","Deficit","Final"
"02.01.2020 11:00 - 02.01.2020 11:15","n/e","n/e","n/e","n/e","n/e","46","-5","Deficit","Final"
"02.01.2020 11:15 - 02.01.2020 11:30","n/e","n/e","n/e","n/e","n/e","33","1","Deficit","Final"
"02.01.2020 11:30 - 02.01.2020 11:45","n/e","n/e","n/e","n/e","n/e","63","-3","Deficit","Final"
"02.01.2020 11:45 - 02.01.2020 12:00","n/e","n/e","n/e","n/e","n/e","61","-1","Deficit","Final"
"02.01.2020 12:00 - 02.01.2020 12:15","n/e","n/e","n/e","n/e","n/e","131","-2","Deficit","Final"
"02.01.2020 12:15 - 02.01.2020 12:30","n/e","n/e","n/e","n/e","n/e","113","0","Deficit","Final"
"02.01.2020 12:30 - 02.01.2020 12:45","n/e","n/e","n/e","n/e","n/e","97","0","Deficit","Final"
"02.01.2020 12:45 - 02.01.2020 13:00","n/e","n/e","n/e","n/e","n/e","106","2","Deficit","Final"
"02.01.2020 13:00 - 02.01.2020 13:15","n/e","n/e","n/e","n/e","n/e","108","-4","Deficit","Final"
"02.01.2020 13:15 - 02.01.2020 13:30","n/e","n/e","n/e","n/e","n/e","103","2","Deficit","Final"
"02.01.2020 13:30 - 02.01.2020 13:45","n/e","n/e","n/e","n/e","n/e","99","0","Deficit","Final"
"02.01.2020 13:45 - 02.01.2020 14:00","n/e","n/e","n/e","n/e","n/e","83","-3","Deficit","Final"
"02.01.2020 14:00 - 02.01.2020 14:15","n/e","n/e","n/e","n/e","n/e","70","-3","Deficit","Final"
"02.01.2020 14:15 - 02.01.2020 14:30","n/e","n/e","n/e","n/e","n/e","32","1","Deficit","Final"
"02.01.2020 14:30 - 02.01.2020 14:45","n/e","n/e","n/e","n/e","n/e","6","-1","Deficit","Final"
"02.01.2020 14:45 - 02.01.2020 15:00","n/e","n/e","n/e","n/e","n/e","43","0","Surplus","Final"
"02.01.2020 15:00 - 02.01.2020 15:15","n/e","n/e","n/e","n/e","n/e","57","3","Deficit","Final"
"02.01.2020 15:15 - 02.01.2020 15:30","n/e","n/e","n/e","n/e","n/e","26","-3","Deficit","Final"
"02.01.2020 15:30 - 02.01.2020 15:45","n/e","n/e","n/e","n/e","n/e","14","-4","Deficit","Final"
"02.01.2020 15:45 - 02.01.2020 16:00","n/e","n/e","n/e","n/e","n/e","43","-4","Deficit","Final"
"02.01.2020 16:00 - 02.01.2020 16:15","n/e","n/e","n/e","n/e","n/e","5","3","Deficit","Final"
"02.01.2020 16:15 - 02.01.2020 16:30","n/e","n/e","n/e","n/e","n/e","76","-2","Deficit","Final"
"02.01.2020 16:30 - 02.01.2020 16:45","n/e","n/e","n/e","n/e","n/e","93","-4","Deficit","Final"
"02.01.2020 16:45 - 02.01.2020 17:00","n/e","n/e","n/e","n/e","n/e","154","2","Deficit","Final"
"02.01.2020 17:00 - 02.01.2020 17:15","n/e","n/e","n/e","n/e","n/e","296","6","Deficit","Final"
"02.01.2020 17:15 - 02.01.2020 17:30","n/e","n/e","n/e","n/e","n/e","266","1","Deficit","Final"
"02.01.2020 17:30 - 02.01.2020 17:45","n/e","n/e","n/e","n/e","n/e","283","-3","Deficit","Final"
"02.01.2020 17:45 - 02.01.2020 18:00","n/e","n/e","n/e","n/e","n/e","319","-5","Deficit","Final"
"02.01.2020 18:00 - 02.01.2020 18:15","n/e","n/e","n/e","n/e","n/e","397","0","Deficit","Final"
"02.01.2020 18:15 - 02.01.2020 18:30","n/e","n/e","n/e","n/e","n/e","382","-2","Deficit","Final"
"02.01.2020 18:30 - 02.01.2020 18:45","n/e","n/e","n/e","n/e","n/e","369","2","Deficit","Final"
"02.01.2020 18:45 - 02.01.2020 19:00","n/e","n/e","n/e","n/e","n/e","368","-2","Deficit","Final"
"02.01.2020 19:00 - 02.01.2020 19:15","n/e","n/e","n/e","n/e","n/e","357","-3","Deficit","Final"
"02.01.2020 19:15 - 02.01.2020 19:30","n/e","n/e","n/e","n/e","n/e","334","2","Deficit","Final"
"02.01.2020 19:30 - 02.01.2020 19:45","n/e","n/e","n/e","n/e","n/e","270","3","Deficit","Final"
"02.01.2020 19:45 - 02.01.2020 20:00","n/e","n/e","n/e","n/e","n/e","300","5","Deficit","Final"
"02.01.2020 20:00 - 02.01.2020 20:15","n/e","n/e","n/e","n/e","n/e","316","-3","Deficit","Final"
"02.01.2020 20:15 - 02.01.2020 20:30","n/e","n/e","n/e","n/e","n/e","252","5","Deficit","Final"
"02.01.2020 20:30 - 02.01.2020 20:45","n/e","n/e","n/e","n/e","n/e","228","1","Deficit","Final"
"02.01.2020 20:45 - 02.01.2020 21:00","n/e","n/e","n/e","n/e","n/e","165","0","Deficit","Final"
"02.01.2020 21:00 - 02.01.2020 21:15","n/e","n/e","n/e","n/e","n/e","153","-4","Deficit","Final"
"02.01.2020 21:15 - 02.01.2020 21:30","n/e","n/e","n/e","n/e","n/e","135","7","Deficit","Final"
"02.01.2020 21:30 - 02.01.2020 21:45","n/e","n/e","n/e","n/e","n/e","116","-2","Deficit","Final"
"02.01.2020 21:45 - 02.01.2020 22:00","n/e","n/e","n/e","n/e","n/e","164","4","Deficit","Final"
"02.01.2020 22:00 - 02.01.2020 22:15","n/e","n/e","n/e","n/e","n/e","167","-2","Deficit","Final"
"02.01.2020 22:15 - 02.01.2020 22:30","n/e","n/e","n/e","n/e","n/e","124","1","Deficit","Final"
"02.01.2020 22:30 - 02.01.2020 22:45","n/e","n/e","n/e","n/e","n/e","140","3","Deficit","Final"
"02.01.2020 22:45 - 02.01.2020 23:00","n/e","n/e","n/e","n/e","n/e","162","6","Deficit","Final"
"02.01.2020 23:00 - 02.01.2020 23:15","n/e","n/e","n/e","n/e","n/e","159","-4","Deficit","Final"
"02.01.2020 23:15 - 02.01.2020 23:30","n/e","n/e","n/e","n/e","n/e","106","6","Deficit","Final"
"02.01.2020 23:30 - 02.01.2020 23:45","n/e","n/e","n/e","n/e","n/e","79","1","Deficit","Final"
"02.01.2020 23:45 - 03.01.2020 00:00","n/e","n/e","n/e","n/e","n/e","5","14","Deficit","Final"
"03.01.2020 00:00 - 03.01.2020 00:15","n/e","n/e","n/e","n/e","n/e","28","-8","Deficit","Final"
"03.01.2020 00:15 - 03.01.2020 00:30","n/e","n/e","n/e","n/e","n/e","35","9","Deficit","Final"
"03.01.2020 00:30 - 03.01.2020 00:45","n/e","n/e","n/e","n/e","n/e","56","12","Deficit","Final"
"03.01.2020 00:45 - 03.01.2020 01:00","n/e","n/e","n/e","n/e","n/e","29","9","Deficit","Final"
"03.01.2020 01:00 - 03.01.2020 01:15","n/e","n/e","n/e","n/e","n/e","76","-16","Deficit","Final"
"03.01.2020 01:15 - 03.01.2020 01:30","n/e","n/e","n/e","n/e","n/e","118","-3","Deficit","Final"
"03.01.2020 01:30 - 03.01.2020 01:45","n/e","n/e","n/e","n/e","n/e","127","1","Deficit","Final"
"03.01.2020 01:45 - 03.01.2020 02:00","n/e","n/e","n/e","n/e","n/e","109","6","Deficit","Final"
"03.01.2020 02:00 - 03.01.2020 02:15","n/e","n/e","n/e","n/e","n/e","217","-3","Deficit","Final"
"03.01.2020 02:15 - 03.01.2020 02:30","n/e","n/e","n/e","n/e","n/e","165","6","Deficit","Final"
"03.01.2020 02:30 - 03.01.2020 02:45","n/e","n/e","n/e","n/e","n/e","136","6","Deficit","Final"
"03.01.2020 02:45 - 03.01.2020 03:00","n/e","n/e","n/e","n/e","n/e","97","9","Deficit","Final"
"03.01.2020 03:00 - 03.01.2020 03:15","n/e","n/e","n/e","n/e","n/e","50","-4","Deficit","Final"
"03.01.2020 03:15 - 03.01.2020 03:30","n/e","n/e","n/e","n/e","n/e","38","2","Deficit","Final"
"03.01.2020 03:30 - 03.01.2020 03:45","n/e","n/e","n/e","n/e","n/e","25","1","Deficit","Final"
"03.01.2020 03:45 - 03.01.2020 04:00","n/e","n/e","n/e","n/e","n/e","22","5","Deficit","Final"
"03.01.2020 04:00 - 03.01.2020 04:15","n/e","n/e","n/e","n/e","n/e","38","-5","Deficit","Final"
"03.01.2020 04:15 - 03.01.2020 04:30","n/e","n/e","n/e","n/e","n/e","14","3","Deficit","Final"
"03.01.2020 04:30 - 03.01.2020 04:45","n/e","n/e","n/e","n/e","n/e","26","3","Deficit","Final"
"03.01.2020 04:45 - 03.01.2020 05:00","n/e","n/e","n/e","n/e","n/e","48","3","Deficit","Final"
"03.01.2020 05:00 - 03.01.2020 05:15","n/e","n/e","n/e","n/e","n/e","145","9","Deficit","Final"
"03.01.2020 05:15 - 03.01.2020 05:30","n/e","n/e","n/e","n/e","n/e","140","0","Deficit","Final"
"03.01.2020 05:30 - 03.01.2020 05:45","n/e","n/e","n/e","n/e","n/e","204","-1","Deficit","Final"
"03.01.2020 05:45 - 03.01.2020 06:00","n/e","n/e","n/e","n/e","n/e","170","0","Deficit","Final"
"03.01.2020 06:00 - 03.01.2020 06:15","n/e","n/e","n/e","n/e","n/e","104","4","Deficit","Final"
"03.01.2020 06:15 - 03.01.2020 06:30","n/e","n/e","n/e","n/e","n/e","146","-5","Deficit","Final"
"03.01.2020 06:30 - 03.01.2020 06:45","n/e","n/e","n/e","n/e","n/e","162","1","Deficit","Final"
"03.01.2020 06:45 - 03.01.2020 07:00","n/e","n/e","n/e","n/e","n/e","155","-2","Deficit","Final"
"03.01.2020 07:00 - 03.01.2020 07:15","n/e","n/e","n/e","n/e","n/e","177","4","Deficit","Final"
"03.01.2020 07:15 - 03.01.2020 07:30","n/e","n/e","n/e","n/e","n/e","209","-6","Deficit","Final"
"03.01.2020 07:30 - 03.01.2020 07:45","n/e","n/e","n/e","n/e","n/e","187","2","Deficit","Final"
"03.01.2020 07:45 - 03.01.2020 08:00","n/e","n/e","n/e","n/e","n/e","194","-1","Deficit","Final"
"03.01.2020 08:00 - 03.01.2020 08:15","n/e","n/e","n/e","n/e","n/e","11","-3","Deficit","Final"
"03.01.2020 08:15 - 03.01.2020 08:30","n/e","n/e","n/e","n/e","n/e","47","-3","Deficit","Final"
"03.01.2020 08:30 - 03.01.2020 08:45","n/e","n/e","n/e","n/e","n/e","66","-2","Deficit","Final"
"03.01.2020 08:45 - 03.01.2020 09:00","n/e","n/e","n/e","n/e","n/e","42","-1","Surplus","Final"
"03.01.2020 09:00 - 03.01.2020 09:15","n/e","n/e","n/e","n/e","n/e","141","2","Surplus","Final"
"03.01.2020 09:15 - 03.01.2020 09:30","n/e","n/e","n/e","n/e","n/e","119","2","Surplus","Final"
"03.01.2020 09:30 - 03.01.2020 09:45","n/e","n/e","n/e","n/e","n/e","37","-1","Surplus","Final"
"03.01.2020 09:45 - 03.01.2020 10:00","n/e","n/e","n/e","n/e","n/e","15","4","Surplus","Final"
"03.01.2020 10:00 - 03.01.2020 10:15","n/e","n/e","n/e","n/e","n/e","3","-2","Surplus","Final"
"03.01.2020 10:15 - 03.01.2020 10:30","n/e","n/e","n/e","n/e","n/e","12","1","Deficit","Final"
