"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Generation / - Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Price for consumption [Currency/MWh] - SCA|DE(TenneT GER)","Currency","Status","Total Imbalance [MWh] - SCA|DE(TenneT GER)","Difference","Situation","Status"
"01.01.2020 00:00 - 01.01.2020 00:15","n/e","n/e","n/e","n/e","n/e","31","25","Deficit","Final"
"01.01.2020 00:15 - 01.01.2020 00:30","n/e","n/e","n/e","n/e","n/e","50","11","Deficit","Final"
"01.01.2020 00:30 - 01.01.2020 00:45","n/e","n/e","n/e","n/e","n/e","90","9","Deficit","Final"
"01.01.2020 00:45 - 01.01.2020 01:00","n/e","n/e","n/e","n/e","n/e","104","13","Deficit","Final"
"01.01.2020 01:00 - 01.01.2020 01:15","n/e","n/e","n/e","n/e","n/e","29","-1","Deficit","Final"
"01.01.2020 01:15 - 01.01.2020 01:30","n/e","n/e","n/e","n/e","n/e","15","5","Surplus","Final"
"01.01.2020 01:30 - 01.01.2020 01:45","n/e","n/e","n/e","n/e","n/e","57","4","Surplus","Final"
"01.01.2020 01:45 - 01.01.2020 02:00","n/e","n/e","n/e","n/e","n/e","77","6","Surplus","Final"
"01.01.2020 02:00 - 01.01.2020 02:15","n/e","n/e","n/e","n/e","n/e","16","-11","Surplus","Final"
"01.01.2020 02:15 - 01.01.2020 02:30","n/e","n/e","n/e","n/e","n/e","39","5","Surplus","Final"
"01.01.2020 02:30 - 01.01.2020 02:45","n/e","n/e","n/e","n/e","n/e","76","7","Surplus","Final"
"01.01.2020 02:45 - 01.01.2020 03:00","n/e","n/e","n/e","n/e","n/e","87","9","Surplus","Final"
"01.01.2020 03:00 - 01.01.2020 03:15","n/e","n/e","n/e","n/e","n/e","64","-11","Surplus","Final"
"01.01.2020 03:15 - 01.01.2020 03:30","n/e","n/e","n/e","n/e","n/e","96","3","Surplus","Final"
"01.01.2020 03:30 - 01.01.2020 03:45","n/e","n/e","n/e","n/e","n/e","75","6","Surplus","Final"
"01.01.2020 03:45 - 01.01.2020 04:00","n/e","n/e","n/e","n/e","n/e","83","12","Surplus","Final"
"01.01.2020 04:00 - 01.01.2020 04:15","n/e","n/e","n/e","n/e","n/e","33","0","Surplus","Final"
"01.01.2020 04:15 - 01.01.2020 04:30","n/e","n/e","n/e","n/e","n/e","58","-1","Surplus","Final"
"01.01.2020 04:30 - 01.01.2020 04:45","n/e","n/e","n/e","n/e","n/e","89","5","Surplus","Final"
"01.01.2020 04:45 - 01.01.2020 05:00","n/e","n/e","n/e","n/e","n/e","43","6","Surplus","Final"
"01.01.2020 05:00 - 01.01.2020 05:15","n/e","n/e","n/e","n/e","n/e","33","7","Surplus","Final"
"01.01.2020 05:15 - 01.01.2020 05:30","n/e","n/e","n/e","n/e","n/e","2","8","Deficit","Final"
"01.01.2020 05:30 - 01.01.2020 05:45","n/e","n/e","n/e","n/e","n/e","11","5","Surplus","Final"
"01.01.2020 05:45 - 01.01.2020 06:00","n/e","n/e","n/e","n/e","n/e","9","7","Surplus","Final"
"01.01.2020 06:00 - 01.01.2020 06:15","n/e","n/e","n/e","n/e","n/e","34","0","Deficit","Final"
"01.01.2020 06:15 - 01.01.2020 06:30","n/e","n/e","n/e","n/e","n/e","29","5","Deficit","Final"
"01.01.2020 06:30 - 01.01.2020 06:45","n/e","n/e","n/e","n/e","n/e","8","2","Deficit","Final"
"01.01.2020 06:45 - 01.01.2020 07:00","n/e","n/e","n/e","n/e","n/e","36","2","Surplus","Final"
"01.01.2020 07:00 - 01.01.2020 07:15","n/e","n/e","n/e","n/e","n/e","16","6","Surplus","Final"
"01.01.2020 07:15 - 01.01.2020 07:30","n/e","n/e","n/e","n/e","n/e","53","6","Surplus","Final"
"01.01.2020 07:30 - 01.01.2020 07:45","n/e","n/e","n/e","n/e","n/e","45","7","Surplus","Final"
"01.01.2020 07:45 - 01.01.2020 08:00","n/e","n/e","n/e","n/e","n/e","52","11","Surplus","Final"
"01.01.2020 08:00 - 01.01.2020 08:15","n/e","n/e","n/e","n/e","n/e","14","5","Deficit","Final"
"01.01.2020 08:15 - 01.01.2020 08:30","n/e","n/e","n/e","n/e","n/e","14","5","Surplus","Final"
"01.01.2020 08:30 - 01.01.2020 08:45","n/e","n/e","n/e","n/e","n/e","6","5","Surplus","Final"
"01.01.2020 08:45 - 01.01.2020 09:00","n/e","n/e","n/e","n/e","n/e","17","5","Surplus","Final"
"01.01.2020 09:00 - 01.01.2020 09:15","n/e","n/e","n/e","n/e","n/e","37","6","Deficit","Final"
"01.01.2020 09:15 - 01.01.2020 09:30","n/e","n/e","n/e","n/e","n/e","21","1","Deficit","Final"
"01.01.2020 09:30 - 01.01.2020 09:45","n/e","n/e","n/e","n/e","n/e","13","1","Deficit","Final"
