"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Generation / - Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Price for consumption [Currency/MWh] - SCA|DE(TenneT GER)","Currency","Status","Total Imbalance [MWh] - SCA|DE(TenneT GER)","Difference","Situation","Status"
"01.01.2022 00:00 - 01.01.2022 00:15","n/e","n/e","n/e","n/e","n/e","83","-13","Deficit","Final"
"01.01.2022 00:15 - 01.01.2022 00:30","n/e","n/e","n/e","n/e","n/e","168","5","Deficit","Final"
"01.01.2022 00:30 - 01.01.2022 00:45","n/e","n/e","n/e","n/e","n/e","151","4","Deficit","Final"
"01.01.2022 00:45 - 01.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","107","0","Deficit","Final"
"01.01.2022 01:00 - 01.01.2022 01:15","n/e","n/e","n/e","n/e","n/e","65","-14","Deficit","Final"
"01.01.2022 01:15 - 01.01.2022 01:30","n/e","n/e","n/e","n/e","n/e","25","-3","Deficit","Final"
"01.01.2022 01:30 - 01.01.2022 01:45","n/e","n/e","n/e","n/e","n/e","148","-5","Deficit","Final"
"01.01.2022 01:45 - 01.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","183","5","Deficit","Final"
"01.01.2022 02:00 - 01.01.2022 02:15","n/e","n/e","n/e","n/e","n/e","237","-4","Deficit","Final"
"01.01.2022 02:15 - 01.01.2022 02:30","n/e","n/e","n/e","n/e","n/e","204","4","Deficit","Final"
"01.01.2022 02:30 - 01.01.2022 02:45","n/e","n/e","n/e","n/e","n/e","206","7","Deficit","Final"
"01.01.2022 02:45 - 01.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","110","14","Deficit","Final"
"01.01.2022 03:00 - 01.01.2022 03:15","n/e","n/e","n/e","n/e","n/e","44","-1","Surplus","Final"
"01.01.2022 03:15 - 01.01.2022 03:30","n/e","n/e","n/e","n/e","n/e","75","1","Surplus","Final"
"01.01.2022 03:30 - 01.01.2022 03:45","n/e","n/e","n/e","n/e","n/e","58","6","Surplus","Final"
"01.01.2022 03:45 - 01.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","92","2","Surplus","Final"
"01.01.2022 04:00 - 01.01.2022 04:15","n/e","n/e","n/e","n/e","n/e","38","1","Surplus","Final"
"01.01.2022 04:15 - 01.01.2022 04:30","n/e","n/e","n/e","n/e","n/e","37","3","Surplus","Final"
"01.01.2022 04:30 - 01.01.2022 04:45","n/e","n/e","n/e","n/e","n/e","0","2","Balanced","Final"
"01.01.2022 04:45 - 01.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","23","3","Deficit","Final"
"01.01.2022 05:00 - 01.01.2022 05:15","n/e","n/e","n/e","n/e","n/e","139","0","Deficit","Final"
"01.01.2022 05:15 - 01.01.2022 05:30","n/e","n/e","n/e","n/e","n/e","182","5","Deficit","Final"
"01.01.2022 05:30 - 01.01.2022 05:45","n/e","n/e","n/e","n/e","n/e","220","4","Deficit","Final"
"01.01.2022 05:45 - 01.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","265","8","Deficit","Final"
"01.01.2022 06:00 - 01.01.2022 06:15","n/e","n/e","n/e","n/e","n/e","176","2","Deficit","Final"
"01.01.2022 06:15 - 01.01.2022 06:30","n/e","n/e","n/e","n/e","n/e","177","2","Deficit","Final"
"01.01.2022 06:30 - 01.01.2022 06:45","n/e","n/e","n/e","n/e","n/e","57","-2","Deficit","Final"
"01.01.2022 06:45 - 01.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","32","5","Deficit","Final"
"01.01.2022 07:00 - 01.01.2022 07:15","n/e","n/e","n/e","n/e","n/e","49","7","Surplus","Final"
"01.01.2022 07:15 - 01.01.2022 07:30","n/e","n/e","n/e","n/e","n/e","21","2","Surplus","Final"
"01.01.2022 07:30 - 01.01.2022 07:45","n/e","n/e","n/e","n/e","n/e","66","4","Deficit","Final"
"01.01.2022 07:45 - 01.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","130","3","Deficit","Final"
"01.01.2022 08:00 - 01.01.2022 08:15","n/e","n/e","n/e","n/e","n/e","155","9","Deficit","Final"
"01.01.2022 08:15 - 01.01.2022 08:30","n/e","n/e","n/e","n/e","n/e","223","11","Deficit","Final"
"01.01.2022 08:30 - 01.01.2022 08:45","n/e","n/e","n/e","n/e","n/e","279","1","Deficit","Final"
"01.01.2022 08:45 - 01.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","263","5","Deficit","Final"
"01.01.2022 09:00 - 01.01.2022 09:15","n/e","n/e","n/e","n/e","n/e","47","1","Deficit","Final"
"01.01.2022 09:15 - 01.01.2022 09:30","n/e","n/e","n/e","n/e","n/e","64","7","Surplus","Final"
"01.01.2022 09:30 - 01.01.2022 09:45","n/e","n/e","n/e","n/e","n/e","26","8","Deficit","Final"
"01.01.2022 09:45 - 01.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","71","6","Deficit","Final"
"01.01.2022 10:00 - 01.01.2022 10:15","n/e","n/e","n/e","n/e","n/e","32","-2","Deficit","Final"
"01.01.2022 10:15 - 01.01.2022 10:30","n/e","n/e","n/e","n/e","n/e","73","0","Deficit","Final"
"01.01.2022 10:30 - 01.01.2022 10:45","n/e","n/e","n/e","n/e","n/e","170","2","Deficit","Final"
"01.01.2022 10:45 - 01.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","215","0","Deficit","Final"
"01.01.2022 11:00 - 01.01.2022 11:15","n/e","n/e","n/e","n/e","n/e","162","-4","Deficit","Final"
"01.01.2022 11:15 - 01.01.2022 11:30","n/e","n/e","n/e","n/e","n/e","115","2","Deficit","Final"
"01.01.2022 11:30 - 01.01.2022 11:45","n/e","n/e","n/e","n/e","n/e","95","1","Deficit","Final"
"01.01.2022 11:45 - 01.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","43","-1","Deficit","Final"
"01.01.2022 12:00 - 01.01.2022 12:15","n/e","n/e","n/e","n/e","n/e","28","-4","Deficit","Final"
"01.01.2022 12:15 - 01.01.2022 12:30","n/e","n/e","n/e","n/e","n/e","64","-1","Surplus","Final"
"01.01.2022 12:30 - 01.01.2022 12:45","n/e","n/e","n/e","n/e","n/e","29","-1","Surplus","Final"
"01.01.2022 12:45 - 01.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","21","6","Surplus","Final"
"01.01.2022 13:00 - 01.01.2022 13:15","n/e","n/e","n/e","n/e","n/e","7","0","Deficit","Final"
"01.01.2022 13:15 - 01.01.2022 13:30","n/e","n/e","n/e","n/e","n/e","22","-1","Surplus","Final"
"01.01.2022 13:30 - 01.01.2022 13:45","n/e","n/e","n/e","n/e","n/e","64","0","Deficit","Final"
"01.01.2022 13:45 - 01.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","26","0","Deficit","Final"
"01.01.2022 14:00 - 01.01.2022 14:15","n/e","n/e","n/e","n/e","n/e","64","1","Deficit","Final"
"01.01.2022 14:15 - 01.01.2022 14:30","n/e","n/e","n/e","n/e","n/e","72","-1","Deficit","Final"
"01.01.2022 14:30 - 01.01.2022 14:45","n/e","n/e","n/e","n/e","n/e","31","1","Deficit","Final"
"01.01.2022 14:45 - 01.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","7","1","Surplus","Final"
"01.01.2022 15:00 - 01.01.2022 15:15","n/e","n/e","n/e","n/e","n/e","53","8","Surplus","Final"
"01.01.2022 15:15 - 01.01.2022 15:30","n/e","n/e","n/e","n/e","n/e","51","-5","Surplus","Final"
"01.01.2022 15:30 - 01.01.2022 15:45","n/e","n/e","n/e","n/e","n/e","25","-6","Surplus","Final"
"01.01.2022 15:45 - 01.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","108","-9","Surplus","Final"
"01.01.2022 16:00 - 01.01.2022 16:15","n/e","n/e","n/e","n/e","n/e","13","6","Surplus","Final"
"01.01.2022 16:15 - 01.01.2022 16:30","n/e","n/e","n/e","n/e","n/e","41","-4","Surplus","Final"
"01.01.2022 16:30 - 01.01.2022 16:45","n/e","n/e","n/e","n/e","n/e","5","-4","Surplus","Final"
"01.01.2022 16:45 - 01.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","46","-8","Deficit","Final"
"01.01.2022 17:00 - 01.01.2022 17:15","n/e","n/e","n/e","n/e","n/e","88","6","Deficit","Final"
"01.01.2022 17:15 - 01.01.2022 17:30","n/e","n/e","n/e","n/e","n/e","34","-2","Deficit","Final"
"01.01.2022 17:30 - 01.01.2022 17:45","n/e","n/e","n/e","n/e","n/e","20","0","Deficit","Final"
"01.01.2022 17:45 - 01.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","46","2","Deficit","Final"
"01.01.2022 18:00 - 01.01.2022 18:15","n/e","n/e","n/e","n/e","n/e","132","2","Deficit","Final"
"01.01.2022 18:15 - 01.01.2022 18:30","n/e","n/e","n/e","n/e","n/e","146","2","Deficit","Final"
"01.01.2022 18:30 - 01.01.2022 18:45","n/e","n/e","n/e","n/e","n/e","107","0","Deficit","Final"
"01.01.2022 18:45 - 01.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","72","0","Deficit","Final"
