"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Generation / - Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Price for consumption [Currency/MWh] - SCA|DE(TenneT GER)","Currency","Status","Total Imbalance [MWh] - SCA|DE(TenneT GER)","Difference","Situation","Status"
"01.01.2022 19:00 - 01.01.2022 19:15","n/e","n/e","n/e","n/e","n/e","143","0","Deficit","Final"
"01.01.2022 19:15 - 01.01.2022 19:30","n/e","n/e","n/e","n/e","n/e","168","3","Deficit","Final"
"01.01.2022 19:30 - 01.01.2022 19:45","n/e","n/e","n/e","n/e","n/e","197","3","Deficit","Final"
"01.01.2022 19:45 - 01.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","124","1","Deficit","Final"
"01.01.2022 20:00 - 01.01.2022 20:15","n/e","n/e","n/e","n/e","n/e","68","-13","Deficit","Final"
"01.01.2022 20:15 - 01.01.2022 20:30","n/e","n/e","n/e","n/e","n/e","48","-1","Deficit","Final"
"01.01.2022 20:30 - 01.01.2022 20:45","n/e","n/e","n/e","n/e","n/e","59","6","Deficit","Final"
"01.01.2022 20:45 - 01.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","28","6","Deficit","Final"
"01.01.2022 21:00 - 01.01.2022 21:15","n/e","n/e","n/e","n/e","n/e","113","-1","Deficit","Final"
"01.01.2022 21:15 - 01.01.2022 21:30","n/e","n/e","n/e","n/e","n/e","91","7","Deficit","Final"
"01.01.2022 21:30 - 01.01.2022 21:45","n/e","n/e","n/e","n/e","n/e","76","9","Deficit","Final"
"01.01.2022 21:45 - 01.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","28","6","Deficit","Final"
"01.01.2022 22:00 - 01.01.2022 22:15","n/e","n/e","n/e","n/e","n/e","52","-6","Deficit","Final"
"01.01.2022 22:15 - 01.01.2022 22:30","n/e","n/e","n/e","n/e","n/e","17","0","Deficit","Final"
"01.01.2022 22:30 - 01.01.2022 22:45","n/e","n/e","n/e","n/e","n/e","4","-5","Surplus","Final"
"01.01.2022 22:45 - 01.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","32","5","Surplus","Final"
"01.01.2022 23:00 - 01.01.2022 23:15","n/e","n/e","n/e","n/e","n/e","19","-9","Surplus","Final"
"01.01.2022 23:15 - 01.01.2022 23:30","n/e","n/e","n/e","n/e","n/e","2","2","Surplus","Final"
"01.01.2022 23:30 - 01.01.2022 23:45","n/e","n/e","n/e","n/e","n/e","71","6","Deficit","Final"
"01.01.2022 23:45 - 02.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","24","14","Deficit","Final"
"02.01.2022 00:00 - 02.01.2022 00:15","n/e","n/e","n/e","n/e","n/e","82","-10","Deficit","Final"
"02.01.2022 00:15 - 02.01.2022 00:30","n/e","n/e","n/e","n/e","n/e","94","-2","Surplus","Final"
"02.01.2022 00:30 - 02.01.2022 00:45","n/e","n/e","n/e","n/e","n/e","116","5","Surplus","Final"
"02.01.2022 00:45 - 02.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","117","2","Surplus","Final"
"02.01.2022 01:00 - 02.01.2022 01:15","n/e","n/e","n/e","n/e","n/e","80","-12","Surplus","Final"
"02.01.2022 01:15 - 02.01.2022 01:30","n/e","n/e","n/e","n/e","n/e","112","3","Surplus","Final"
"02.01.2022 01:30 - 02.01.2022 01:45","n/e","n/e","n/e","n/e","n/e","102","3","Surplus","Final"
"02.01.2022 01:45 - 02.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","135","5","Deficit","Final"
"02.01.2022 02:00 - 02.01.2022 02:15","n/e","n/e","n/e","n/e","n/e","145","-6","Deficit","Final"
"02.01.2022 02:15 - 02.01.2022 02:30","n/e","n/e","n/e","n/e","n/e","94","7","Deficit","Final"
"02.01.2022 02:30 - 02.01.2022 02:45","n/e","n/e","n/e","n/e","n/e","138","5","Deficit","Final"
"02.01.2022 02:45 - 02.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","151","3","Deficit","Final"
"02.01.2022 03:00 - 02.01.2022 03:15","n/e","n/e","n/e","n/e","n/e","185","1","Deficit","Final"
"02.01.2022 03:15 - 02.01.2022 03:30","n/e","n/e","n/e","n/e","n/e","189","4","Deficit","Final"
"02.01.2022 03:30 - 02.01.2022 03:45","n/e","n/e","n/e","n/e","n/e","113","4","Deficit","Final"
"02.01.2022 03:45 - 02.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","124","5","Deficit","Final"
"02.01.2022 04:00 - 02.01.2022 04:15","n/e","n/e","n/e","n/e","n/e","78","-1","Deficit","Final"
"02.01.2022 04:15 - 02.01.2022 04:30","n/e","n/e","n/e","n/e","n/e","100","6","Deficit","Final"
"02.01.2022 04:30 - 02.01.2022 04:45","n/e","n/e","n/e","n/e","n/e","84","5","Deficit","Final"
"02.01.2022 04:45 - 02.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","118","7","Deficit","Final"
"02.01.2022 05:00 - 02.01.2022 05:15","n/e","n/e","n/e","n/e","n/e","186","5","Deficit","Final"
"02.01.2022 05:15 - 02.01.2022 05:30","n/e","n/e","n/e","n/e","n/e","186","8","Deficit","Final"
"02.01.2022 05:30 - 02.01.2022 05:45","n/e","n/e","n/e","n/e","n/e","159","5","Deficit","Final"
"02.01.2022 05:45 - 02.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","230","4","Deficit","Final"
"02.01.2022 06:00 - 02.01.2022 06:15","n/e","n/e","n/e","n/e","n/e","184","10","Deficit","Final"
"02.01.2022 06:15 - 02.01.2022 06:30","n/e","n/e","n/e","n/e","n/e","222","10","Deficit","Final"
"02.01.2022 06:30 - 02.01.2022 06:45","n/e","n/e","n/e","n/e","n/e","152","11","Deficit","Final"
"02.01.2022 06:45 - 02.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","159","1","Deficit","Final"
"02.01.2022 07:00 - 02.01.2022 07:15","n/e","n/e","n/e","n/e","n/e","231","5","Deficit","Final"
"02.01.2022 07:15 - 02.01.2022 07:30","n/e","n/e","n/e","n/e","n/e","207","6","Deficit","Final"
"02.01.2022 07:30 - 02.01.2022 07:45","n/e","n/e","n/e","n/e","n/e","234","3","Deficit","Final"
"02.01.2022 07:45 - 02.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","207","-1","Deficit","Final"
"02.01.2022 08:00 - 02.01.2022 08:15","n/e","n/e","n/e","n/e","n/e","137","9","Deficit","Final"
"02.01.2022 08:15 - 02.01.2022 08:30","n/e","n/e","n/e","n/e","n/e","193","2","Deficit","Final"
"02.01.2022 08:30 - 02.01.2022 08:45","n/e","n/e","n/e","n/e","n/e","230","2","Deficit","Final"
"02.01.2022 08:45 - 02.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","235","0","Deficit","Final"
"02.01.2022 09:00 - 02.01.2022 09:15","n/e","n/e","n/e","n/e","n/e","192","3","Deficit","Final"
"02.01.2022 09:15 - 02.01.2022 09:30","n/e","n/e","n/e","n/e","n/e","264","1","Deficit","Final"
"02.01.2022 09:30 - 02.01.2022 09:45","n/e","n/e","n/e","n/e","n/e","361","-1","Deficit","Final"
"02.01.2022 09:45 - 02.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","420","-4","Deficit","Final"
"02.01.2022 10:00 - 02.01.2022 10:15","n/e","n/e","n/e","n/e","n/e","306","5","Deficit","Final"
"02.01.2022 10:15 - 02.01.2022 10:30","n/e","n/e","n/e","n/e","n/e","341","3","Deficit","Final"
"02.01.2022 10:30 - 02.01.2022 10:45","n/e","n/e","n/e","n/e","n/e","396","-2","Deficit","Final"
"02.01.2022 10:45 - 02.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","280","1","Deficit","Final"
"02.01.2022 11:00 - 02.01.2022 11:15","n/e","n/e","n/e","n/e","n/e","248","-6","Deficit","Final"
"02.01.2022 11:15 - 02.01.2022 11:30","n/e","n/e","n/e","n/e","n/e","186","0","Deficit","Final"
"02.01.2022 11:30 - 02.01.2022 11:45","n/e","n/e","n/e","n/e","n/e","191","1","Deficit","Final"
"02.01.2022 11:45 - 02.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","140","-3","Deficit","Final"
"02.01.2022 12:00 - 02.01.2022 12:15","n/e","n/e","n/e","n/e","n/e","188","-9","Deficit","Final"
"02.01.2022 12:15 - 02.01.2022 12:30","n/e","n/e","n/e","n/e","n/e","197","-1","Deficit","Final"
"02.01.2022 12:30 - 02.01.2022 12:45","n/e","n/e","n/e","n/e","n/e","390","-5","Deficit","Final"
"02.01.2022 12:45 - 02.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","453","2","Deficit","Final"
"02.01.2022 13:00 - 02.01.2022 13:15","n/e","n/e","n/e","n/e","n/e","247","-9","Deficit","Final"
"02.01.2022 13:15 - 02.01.2022 13:30","n/e","n/e","n/e","n/e","n/e","185","2","Deficit","Final"
"02.01.2022 13:30 - 02.01.2022 13:45","n/e","n/e","n/e","n/e","n/e","143","2","Deficit","Final"
"02.01.2022 13:45 - 02.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","21","5","Deficit","Final"
"02.01.2022 14:00 - 02.01.2022 14:15","n/e","n/e","n/e","n/e","n/e","64","-1","Deficit","Final"
"02.01.2022 14:15 - 02.01.2022 14:30","n/e","n/e","n/e","n/e","n/e","118","2","Deficit","Final"
"02.01.2022 14:30 - 02.01.2022 14:45","n/e","n/e","n/e","n/e","n/e","114","-1","Deficit","Final"
"02.01.2022 14:45 - 02.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","108","-7","Deficit","Final"
"02.01.2022 15:00 - 02.01.2022 15:15","n/e","n/e","n/e","n/e","n/e","245","4","Deficit","Final"
"02.01.2022 15:15 - 02.01.2022 15:30","n/e","n/e","n/e","n/e","n/e","307","1","Deficit","Final"
"02.01.2022 15:30 - 02.01.2022 15:45","n/e","n/e","n/e","n/e","n/e","334","2","Deficit","Final"
"02.01.2022 15:45 - 02.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","351","-1","Deficit","Final"
"02.01.2022 16:00 - 02.01.2022 16:15","n/e","n/e","n/e","n/e","n/e","226","13","Deficit","Final"
"02.01.2022 16:15 - 02.01.2022 16:30","n/e","n/e","n/e","n/e","n/e","272","-6","Deficit","Final"
"02.01.2022 16:30 - 02.01.2022 16:45","n/e","n/e","n/e","n/e","n/e","331","-5","Deficit","Final"
"02.01.2022 16:45 - 02.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","288","-8","Deficit","Final"
"02.01.2022 17:00 - 02.01.2022 17:15","n/e","n/e","n/e","n/e","n/e","199","3","Deficit","Final"
"02.01.2022 17:15 - 02.01.2022 17:30","n/e","n/e","n/e","n/e","n/e","267","-3","Deficit","Final"
"02.01.2022 17:30 - 02.01.2022 17:45","n/e","n/e","n/e","n/e","n/e","292","-2","Deficit","Final"
"02.01.2022 17:45 - 02.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","251","-4","Deficit","Final"
"02.01.2022 18:00 - 02.01.2022 18:15","n/e","n/e","n/e","n/e","n/e","213","-3","Deficit","Final"
"02.01.2022 18:15 - 02.01.2022 18:30","n/e","n/e","n/e","n/e","n/e","229","-4","Deficit","Final"
"02.01.2022 18:30 - 02.01.2022 18:45","n/e","n/e","n/e","n/e","n/e","152","-7","Deficit","Final"
"02.01.2022 18:45 - 02.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","150","-4","Deficit","Final"
"02.01.2022 19:00 - 02.01.2022 19:15","n/e","n/e","n/e","n/e","n/e","210","-1","Deficit","Final"
"02.01.2022 19:15 - 02.01.2022 19:30","n/e","n/e","n/e","n/e","n/e","162","3","Deficit","Final"
"02.01.2022 19:30 - 02.01.2022 19:45","n/e","n/e","n/e","n/e","n/e","250","0","Deficit","Final"
"02.01.2022 19:45 - 02.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","231","2","Deficit","Final"
"02.01.2022 20:00 - 02.01.2022 20:15","n/e","n/e","n/e","n/e","n/e","197","-5","Deficit","Final"
"02.01.2022 20:15 - 02.01.2022 20:30","n/e","n/e","n/e","n/e","n/e","115","6","Deficit","Final"
"02.01.2022 20:30 - 02.01.2022 20:45","n/e","n/e","n/e","n/e","n/e","86","1","Deficit","Final"
"02.01.2022 20:45 - 02.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","90","0","Deficit","Final"
"02.01.2022 21:00 - 02.01.2022 21:15","n/e","n/e","n/e","n/e","n/e","212","-16","Deficit","Final"
"02.01.2022 21:15 - 02.01.2022 21:30","n/e","n/e","n/e","n/e","n/e","241","0","Deficit","Final"
"02.01.2022 21:30 - 02.01.2022 21:45","n/e","n/e","n/e","n/e","n/e","316","3","Deficit","Final"
"02.01.2022 21:45 - 02.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","315","4","Deficit","Final"
"02.01.2022 22:00 - 02.01.2022 22:15","n/e","n/e","n/e","n/e","n/e","362","-6","Deficit","Final"
"02.01.2022 22:15 - 02.01.2022 22:30","n/e","n/e","n/e","n/e","n/e","392","-4","Deficit","Final"
"02.01.2022 22:30 - 02.01.2022 22:45","n/e","n/e","n/e","n/e","n/e","360","-2","Deficit","Final"
"02.01.2022 22:45 - 02.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","391","6","Deficit","Final"
"02.01.2022 23:00 - 02.01.2022 23:15","n/e","n/e","n/e","n/e","n/e","322","-7","Deficit","Final"
"02.01.2022 23:15 - 02.01.2022 23:30","n/e","n/e","n/e","n/e","n/e","292","0","Deficit","Final"
"02.01.2022 23:30 - 02.01.2022 23:45","n/e","n/e","n/e","n/e","n/e","293","1","Deficit","Final"
"02.01.2022 23:45 - 03.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","176","17","Deficit","Final"
"03.01.2022 00:00 - 03.01.2022 00:15","n/e","n/e","n/e","n/e","n/e","111","-6","Deficit","Final"
"03.01.2022 00:15 - 03.01.2022 00:30","n/e","n/e","n/e","n/e","n/e","116","9","Deficit","Final"
"03.01.2022 00:30 - 03.01.2022 00:45","n/e","n/e","n/e","n/e","n/e","206","27","Deficit","Final"
"03.01.2022 00:45 - 03.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","162","15","Deficit","Final"
"03.01.2022 01:00 - 03.01.2022 01:15","n/e","n/e","n/e","n/e","n/e","171","-5","Deficit","Final"
"03.01.2022 01:15 - 03.01.2022 01:30","n/e","n/e","n/e","n/e","n/e","207","7","Deficit","Final"
"03.01.2022 01:30 - 03.01.2022 01:45","n/e","n/e","n/e","n/e","n/e","132","3","Deficit","Final"
"03.01.2022 01:45 - 03.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","37","1","Deficit","Final"
"03.01.2022 02:00 - 03.01.2022 02:15","n/e","n/e","n/e","n/e","n/e","75","-5","Surplus","Final"
"03.01.2022 02:15 - 03.01.2022 02:30","n/e","n/e","n/e","n/e","n/e","127","3","Surplus","Final"
"03.01.2022 02:30 - 03.01.2022 02:45","n/e","n/e","n/e","n/e","n/e","61","3","Surplus","Final"
"03.01.2022 02:45 - 03.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","10","4","Deficit","Final"
"03.01.2022 03:00 - 03.01.2022 03:15","n/e","n/e","n/e","n/e","n/e","143","3","Deficit","Final"
"03.01.2022 03:15 - 03.01.2022 03:30","n/e","n/e","n/e","n/e","n/e","48","5","Deficit","Final"
"03.01.2022 03:30 - 03.01.2022 03:45","n/e","n/e","n/e","n/e","n/e","164","8","Deficit","Final"
"03.01.2022 03:45 - 03.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","147","5","Deficit","Final"
"03.01.2022 04:00 - 03.01.2022 04:15","n/e","n/e","n/e","n/e","n/e","192","8","Deficit","Final"
"03.01.2022 04:15 - 03.01.2022 04:30","n/e","n/e","n/e","n/e","n/e","208","3","Deficit","Final"
"03.01.2022 04:30 - 03.01.2022 04:45","n/e","n/e","n/e","n/e","n/e","267","-1","Deficit","Final"
"03.01.2022 04:45 - 03.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","280","4","Deficit","Final"
"03.01.2022 05:00 - 03.01.2022 05:15","n/e","n/e","n/e","n/e","n/e","299","12","Deficit","Final"
"03.01.2022 05:15 - 03.01.2022 05:30","n/e","n/e","n/e","n/e","n/e","231","0","Deficit","Final"
"03.01.2022 05:30 - 03.01.2022 05:45","n/e","n/e","n/e","n/e","n/e","275","-3","Deficit","Final"
"03.01.2022 05:45 - 03.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","198","-1","Deficit","Final"
"03.01.2022 06:00 - 03.01.2022 06:15","n/e","n/e","n/e","n/e","n/e","15","1","Deficit","Final"
"03.01.2022 06:15 - 03.01.2022 06:30","n/e","n/e","n/e","n/e","n/e","118","-4","Deficit","Final"
"03.01.2022 06:30 - 03.01.2022 06:45","n/e","n/e","n/e","n/e","n/e","193","-3","Deficit","Final"
"03.01.2022 06:45 - 03.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","155","-5","Deficit","Final"
"03.01.2022 07:00 - 03.01.2022 07:15","n/e","n/e","n/e","n/e","n/e","143","12","Deficit","Final"
"03.01.2022 07:15 - 03.01.2022 07:30","n/e","n/e","n/e","n/e","n/e","153","-1","Deficit","Final"
"03.01.2022 07:30 - 03.01.2022 07:45","n/e","n/e","n/e","n/e","n/e","186","0","Deficit","Final"
"03.01.2022 07:45 - 03.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","120","-4","Deficit","Final"
"03.01.2022 08:00 - 03.01.2022 08:15","n/e","n/e","n/e","n/e","n/e","105","17","Deficit","Final"
"03.01.2022 08:15 - 03.01.2022 08:30","n/e","n/e","n/e","n/e","n/e","53","-3","Deficit","Final"
"03.01.2022 08:30 - 03.01.2022 08:45","n/e","n/e","n/e","n/e","n/e","28","-5","Deficit","Final"
"03.01.2022 08:45 - 03.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","13","-4","Deficit","Final"
"03.01.2022 09:00 - 03.01.2022 09:15","n/e","n/e","n/e","n/e","n/e","64","-2","Deficit","Final"
"03.01.2022 09:15 - 03.01.2022 09:30","n/e","n/e","n/e","n/e","n/e","25","0","Deficit","Final"
"03.01.2022 09:30 - 03.01.2022 09:45","n/e","n/e","n/e","n/e","n/e","60","-2","Deficit","Final"
"03.01.2022 09:45 - 03.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","194","-1","Deficit","Final"
"03.01.2022 10:00 - 03.01.2022 10:15","n/e","n/e","n/e","n/e","n/e","280","-7","Deficit","Final"
"03.01.2022 10:15 - 03.01.2022 10:30","n/e","n/e","n/e","n/e","n/e","201","5","Deficit","Final"
